,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Density Value,Density Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty
93,298.15 kelvin,101.325 kilopascal,2,1,CCC(=O)C,1.0,,,0.7829459108668585 gram / milliliter,0.00021420567934867703 gram / milliliter,,,,,,,,
94,298.15 kelvin,101.3 kilopascal,2,2,O,0.997803,CCCC(=O)OC,0.002197,,,,,18.386582635110244 kilogram * meter ** 2 / mole / second ** 2,15.152561166799998 kilogram * meter ** 2 / mole / second ** 2,,,,
95,298.15 kelvin,101.325 kilopascal,2,1,CCCC(=O)OC,1.0,,,0.9177726189461957 gram / milliliter,0.0002897602332831506 gram / milliliter,,,,,,,,
96,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCCCO,1.0,,,0.8277063226324973 gram / milliliter,0.0003977218812798766 gram / milliliter,,,,,1.493112141884708 dimensionless,0.09944104303438658 dimensionless,,
97,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCCO,1.0,,,0.8229790818493642 gram / milliliter,0.0002576890909304834 gram / milliliter,,,,,2.6783500681318846 dimensionless,0.28754877964918585 dimensionless,,
98,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.772,CCCCCCCl,0.228,,,,,,,,,4.6454247634962205e-07 meter ** 3 / mole,1.8514613247651327e-08 meter ** 3 / mole
99,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.7352,CCCCCCCl,0.26480000000000004,,,,,299.94911417488765 kilogram * meter ** 2 / mole / second ** 2,17.381225027400685 kilogram * meter ** 2 / mole / second ** 2,,,,
100,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2877,CCCCCCCl,0.7122999999999999,,,,,,,,,3.6581455685862356e-07 meter ** 3 / mole,1.807418690266986e-08 meter ** 3 / mole
101,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2862,CCCCCCCl,0.7138,,,,,192.14947103752638 kilogram * meter ** 2 / mole / second ** 2,16.502383979146565 kilogram * meter ** 2 / mole / second ** 2,,,,
102,298.15 kelvin,101.325 kilopascal,2,1,CCCCCCCl,1.0,,,0.8658685612749899 gram / milliliter,0.00023646989632410565 gram / milliliter,,,,,,,,
103,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCO,1.0,,,0.8168245101632973 gram / milliliter,0.00026523072219872187 gram / milliliter,,,,,2.7570209711005207 dimensionless,0.3690271998217519 dimensionless,,
104,298.15 kelvin,101.325 kilopascal,2,1,CCCCCO,1.0,,,0.8112713856809952 gram / milliliter,0.00029686055972657816 gram / milliliter,,,,,4.948939621851064 dimensionless,0.6052424055827851 dimensionless,,
105,298.15 kelvin,101.325 kilopascal,2,1,CCCCOC(=O)C,1.0,,,0.9003311294300865 gram / milliliter,0.0002785403658135734 gram / milliliter,,,,,,,,
106,298.15 kelvin,101.325 kilopascal,2,1,CCCCOC=O,1.0,,,0.930757418540482 gram / milliliter,0.0002986710016872804 gram / milliliter,,,,,,,,
107,298.15 kelvin,101.0 kilopascal,2,1,CCCCO,1.0,,,0.8048718044959966 gram / milliliter,0.00031273385570447396 gram / milliliter,,,,,5.998800158030241 dimensionless,0.7806081114271043 dimensionless,,
108,318.15 kelvin,101.3 kilopascal,2,2,O,0.997504,CCCOC(=O)C,0.002496,,,,,10.48239315200044 kilogram * meter ** 2 / mole / second ** 2,15.441810060536307 kilogram * meter ** 2 / mole / second ** 2,,,,
109,298.15 kelvin,101.325 kilopascal,2,1,CCCOC(=O)C,1.0,,,0.9115409088921362 gram / milliliter,0.00028400605865478026 gram / milliliter,,,,,,,,
110,298.15 kelvin,101.0 kilopascal,2,1,CCCOCCO,1.0,,,0.9309218042325467 gram / milliliter,0.0002592462770504358 gram / milliliter,,,,,4.412363962850113 dimensionless,0.4595422255976645 dimensionless,,
111,300.15 kelvin,101.325 kilopascal,2,1,CCCO,1.0,,,0.797454004674776 gram / milliliter,0.00031923105177727535 gram / milliliter,,,,,7.863350331547317 dimensionless,0.8144047189409416 dimensionless,,
112,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)CN=[N+]=[N-],1.0,,,,,66235.98391697659 kilogram * meter ** 2 / mole / second ** 2,265.06870601886516 kilogram * meter ** 2 / mole / second ** 2,,,,,,
113,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)c1cccs1,1.0,,,,,69693.10580485364 kilogram * meter ** 2 / mole / second ** 2,302.90096880561634 kilogram * meter ** 2 / mole / second ** 2,,,,,,
114,303.15 kelvin,101.325 kilopascal,2,1,CCO,1.0,,,0.7821361686059479 gram / milliliter,0.00041700699614199467 gram / milliliter,,,,,12.206834317991786 dimensionless,1.0779718488023735 dimensionless,,
115,298.15 kelvin,101.325 kilopascal,6,1,CCc1ccc(s1)C=O,1.0,,,,,61369.14974217802 kilogram * meter ** 2 / mole / second ** 2,376.89414515246176 kilogram * meter ** 2 / mole / second ** 2,,,,,,
116,303.15 kelvin,101.325 kilopascal,2,1,CN(C)C=O,1.0,,,0.9834992408354198 gram / milliliter,0.00017102885613356285 gram / milliliter,,,,,26.800744876836617 dimensionless,1.4508799965576942 dimensionless,,
117,303.15 kelvin,101.325 kilopascal,2,1,CN(C)CCO,1.0,,,0.9365529361982166 gram / milliliter,0.0001916143639858713 gram / milliliter,,,,,10.319523318248613 dimensionless,1.4081916729606734 dimensionless,,
118,303.15 kelvin,101.325 kilopascal,2,1,CN(CCO)CCO,1.0,,,1.0762632770373437 gram / milliliter,0.0003324024110300905 gram / milliliter,,,,,2.5701735536377353 dimensionless,0.2957611199174651 dimensionless,,
119,298.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.004409000000000001,O,0.995591,,,,,-123.21662069922604 kilogram * meter ** 2 / mole / second ** 2,14.832617863997028 kilogram * meter ** 2 / mole / second ** 2,,,,
120,298.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.2452,O,0.7548,,,,,,,,,-7.308846641421689e-07 meter ** 3 / mole,1.4017583928528111e-08 meter ** 3 / mole
121,308.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.78,O,0.22,,,,,,,,,-4.417525124430832e-07 meter ** 3 / mole,1.466075229832305e-08 meter ** 3 / mole
122,298.15 kelvin,101.325 kilopascal,2,1,CN1CCCCC1,1.0,,,0.8682201242797816 gram / milliliter,0.0002323513550956406 gram / milliliter,,,,,,,,
123,298.15 kelvin,101.325 kilopascal,2,1,COC=O,1.0,,,1.0553444743434346 gram / milliliter,0.0003976108723059885 gram / milliliter,,,,,,,,
124,298.15 kelvin,101.325 kilopascal,6,1,COc1cccc(c1)O,1.0,,,,,73313.6127888211 kilogram * meter ** 2 / mole / second ** 2,194.66343098389817 kilogram * meter ** 2 / mole / second ** 2,,,,,,
125,298.15 kelvin,101.325 kilopascal,6,1,COc1cccc(c1OC)O,1.0,,,,,77879.51909268409 kilogram * meter ** 2 / mole / second ** 2,220.7774729769449 kilogram * meter ** 2 / mole / second ** 2,,,,,,
126,298.15 kelvin,101.325 kilopascal,6,1,COc1ccccn1,1.0,,,,,54131.74608736553 kilogram * meter ** 2 / mole / second ** 2,244.81550218891599 kilogram * meter ** 2 / mole / second ** 2,,,,,,
127,298.15 kelvin,101.325 kilopascal,6,1,COc1ccncc1,1.0,,,,,58971.61438142957 kilogram * meter ** 2 / mole / second ** 2,257.34257306601637 kilogram * meter ** 2 / mole / second ** 2,,,,,,
